,price,currency,ad_situation,rooms,bath,building_space,measuring_unit,price/m2,brokered_by,direction,city,state,postal_code,índice_poder_adqui,índice_seguridad,índice_sanidad,índice_clima,índice_costo_vida,relación_precio_ingresos_propiedades,índice_costo_desplazamiento,índice_contaminación,índice_calidad_vida,latidud_,longitud_
44,715000,USD,New,3,2,219.0,m2,3265.0,Riley Jackson Real Estate Inc.,"3308 Long Lake Dr SE, Olympia",Olympia,Washington,98503,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.48078117830576,19.80710521201973
45,186999,USD,New,5,2,193.0,m2,969.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
46,190499,USD,New,3,2,181.0,m2,1052.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
47,169499,USD,New,4,2,178.0,m2,952.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
48,154999,USD,New,3,2,158.0,m2,981.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
49,175499,USD,New,4,2,181.0,m2,970.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
50,177999,USD,New,3,2,171.0,m2,1041.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
51,155999,USD,New,3,2,152.0,m2,1026.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
52,166999,USD,New,3,2,161.0,m2,1037.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
53,182999,USD,New,3,2,171.0,m2,1070.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
54,176499,USD,New,3,2,170.0,m2,1038.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
55,499000,USD,New,3,2,183.0,m2,2727.0,"City Realty, Inc.","1721 36th Ave NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
56,699900,USD,New,4,2,307.0,m2,2280.0,Better Properties Lacey,"8819 82nd Ln SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
57,300000,USD,New,3,2,122.0,m2,2459.0,Blue Summit Realty LLC,"2032 Bing Ct NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
58,639950,USD,New,4,3,259.0,m2,2471.0,Coldwell Banker Bain of Kent Station,"10533 Nyla Ln SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
59,334950,USD,New,2,1,74.0,m2,4526.0,"VAN DORM REALTY, INC","2511 Birdie St NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
60,450000,USD,New,3,2,171.0,m2,2632.0,"RE/MAX Northwest Realtors - Olympia, WA","7829 Holiday Valley Dr NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
61,669500,USD,New,4,2,228.0,m2,2936.0,"Coldwell Banker Evergreen Olympic Realty, Inc","5523 93rd Ave SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
62,349900,USD,New,3,2,153.0,m2,2287.0,"VAN DORM REALTY, INC","3326 Dartmouth Dr SE, Olympia",Olympia,Washington,98503,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.48078117830576,19.80710521201973
63,515000,USD,New,3,2,151.0,m2,3411.0,Virgil Adams Real Estate,"8110 Jamieson Ct SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
64,764500,USD,New,4,2,343.0,m2,2229.0,"City Realty, Inc.","9040 82nd Ln SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
65,330000,USD,New,3,2,113.0,m2,2920.0,"RE/MAX Northwest Realtors - Olympia, WA","1910 Quince St NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
66,274990,USD,Old,2,2,114.0,m2,2412.0,"City Realty, Inc.","2514 Blooms Ct SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
67,364900,USD,Old,3,2,160.0,m2,2281.0,John L. Scott - Olympia,"6411 Sarazen St SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
68,1650000,USD,New,4,4,536.0,m2,3078.0,Morrison House Sotheby's Intl,"2645 59th Ave NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
69,499900,USD,New,3,2,218.0,m2,2293.0,RE/MAX PARKSIDE AFFILIATES,"3915 Brigadoon Dr SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
70,1070000,USD,New,3,3,344.0,m2,3110.0,Keller Williams South Sound,"1511 Lakemoor Loop Ct SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
71,218499,USD,Old,3,2,221.0,m2,989.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
72,230500,USD,Old,2,1,125.0,m2,1844.0,"CENTURY 21 North Homes Realty, Inc.","6825 Condor Loop NE, Olympia",Olympia,Washington,98516,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.1342656625,-122.73493423336308
73,204999,USD,Old,4,2,210.0,m2,976.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
74,204999,USD,Old,4,2,219.0,m2,936.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
75,192999,USD,Old,3,2,198.0,m2,975.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
76,192999,USD,Old,3,2,206.0,m2,937.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
77,350000,USD,Old,3,1,138.0,m2,2536.0,"VAN DORM REALTY, INC","318 Turner St NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
