,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
53,182999,USD,Adair Homes,New,3,2.0,1842,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
54,176499,USD,Adair Homes,New,3,2.0,1833,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
55,499000,USD,"City Realty, Inc.",New,3,2.0,1975,sqft,"1721 36th Ave NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
56,699900,USD,Better Properties Lacey,New,4,2.5,3300,sqft,"8819 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
57,300000,USD,Blue Summit Realty LLC,New,3,2.0,1317,sqft,"2032 Bing Ct NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
58,639950,USD,Coldwell Banker Bain of Kent Station,New,4,3.0,2791,sqft,"10533 Nyla Ln SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
59,334950,USD,"VAN DORM REALTY, INC",New,2,1.0,795,sqft,"2511 Birdie St NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
60,450000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,2.0,1836,sqft,"7829 Holiday Valley Dr NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
61,669500,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New,4,2.5,2454,sqft,"5523 93rd Ave SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
62,349900,USD,"VAN DORM REALTY, INC",New,3,2.5,1648,sqft,"3326 Dartmouth Dr SE, Olympia, WA 98503",Olympia, WA 98503,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
63,515000,USD,Virgil Adams Real Estate,New,3,2.0,1622,sqft,"8110 Jamieson Ct SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
64,764500,USD,"City Realty, Inc.",New,4,2.5,3688,sqft,"9040 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
65,330000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,2.0,1220,sqft,"1910 Quince St NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
66,274990,USD,"City Realty, Inc.",Old,2,2.0,1232,sqft,"2514 Blooms Ct SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
67,364900,USD,John L. Scott - Olympia,Old,3,2.0,1726,sqft,"6411 Sarazen St SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
68,1650000,USD,Morrison House Sotheby's Intl,New,4,4.0,5765,sqft,"2645 59th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
69,499900,USD,RE/MAX PARKSIDE AFFILIATES,New,3,2.5,2350,sqft,"3915 Brigadoon Dr SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
70,1070000,USD,Keller Williams South Sound,New,3,3.5,3706,sqft,"1511 Lakemoor Loop Ct SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
71,218499,USD,Adair Homes,Old,3,2.5,2382,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
72,230500,USD,"CENTURY 21 North Homes Realty, Inc.",Old,2,1.5,1344,sqft,"6825 Condor Loop NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
73,204999,USD,Adair Homes,Old,4,2.5,2256,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
74,204999,USD,Adair Homes,Old,4,2.5,2359,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
75,192999,USD,Adair Homes,Old,3,2.5,2130,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
