,Unnamed: 0,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
85,178,390000,USD,eXp Realty Washington,Old,4,2.0,1994,sqft,"3214 Cain Rd SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
86,179,339500,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",Old,2,2.0,1613,sqft,"601 Seahawk St SE, Olympia, WA 98503",Olympia, WA 98503,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
87,180,239999,USD,Adair Homes,Old,4,2.5,2449,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
88,184,395000,USD,Abbey Realty Inc,Old,3,2.0,1516,sqft,"6208 Winnwood Loop SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
89,185,275000,USD,RE/MAX COUNTRY,Old,3,1.0,1008,sqft,"1432 Foxfire Dr SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
90,190,735000,USD,Greene Realty Group LLC,Old,3,2.0,1920,sqft,"13029 Marksman St SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
91,191,674900,USD,John L. Scott - Olympia,Old,4,2.5,2940,sqft,"8735 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
92,194,248999,USD,Adair Homes,Old,4,2.5,2830,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
93,205,434900,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1756,sqft,"1428 12th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
94,206,219000,USD,Better Properties North Proctor,Old,2,2.0,1232,sqft,"10116 Overlook Dr NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
95,208,204900,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1964,sqft,"2609 114th Way SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
96,212,425000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,3,2.0,1745,sqft,"7025 Cooper Point Rd NW Unit 4, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
97,213,213999,USD,Adair Homes,Old,5,2.5,2512,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
98,214,325000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,2,1.0,720,sqft,"1249 Summit Lake Shore Rd NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
99,216,324500,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1260,sqft,"1522 Mapleridge Dr NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
100,217,338000,USD,GATEWAY REAL ESTATE,Old,3,2.5,1832,sqft,"8211 Westcott Ln SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
101,218,246499,USD,Adair Homes,Old,3,2.5,2541,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
102,219,226999,USD,Adair Homes,Old,4,2.5,2659,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
103,221,349000,USD,"VAN DORM REALTY, INC",Old,3,2.5,2024,sqft,"8424 16th Ave SW, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
104,222,217999,USD,Adair Homes,Old,4,3.0,2449,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
105,223,374900,USD,Berkshire Hathaway Sound Rltrs,Old,2,1.0,1066,sqft,"1619 10th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
106,224,409900,USD,Greene Realty Group LLC,Old,4,2.5,2248,sqft,"5917 Braywood Ln SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
107,225,534900,USD,"City Realty, Inc.",Old,4,2.0,1920,sqft,"5405 Lemon Rd NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
108,227,199499,USD,Adair Homes,Old,4,2.5,2432,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
109,228,369500,USD,Epic Realty,Old,3,2.0,1720,sqft,"3623 Kings Way SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
110,230,649900,USD,Windermere Real Estate Olympia,Old,4,3.5,3226,sqft,"6646 Prairie Ridge Dr NE, Olympia, WA 98516",Olympia, WA 98516,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
111,231,990000,USD,Keller Williams South Sound,Old,4,3.5,4276,sqft,"1804 Yelm Hwy SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
112,234,225499,USD,Adair Homes,Old,3,1.5,2424,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
113,235,325000,USD,"VAN DORM REALTY, INC",Old,3,2.0,1552,sqft,"8840 Daffodil Ln SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
114,236,359950,USD,Realty One Group Prestige,Old,3,2.0,1822,sqft,"6221 Neylon Dr SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
115,237,849900,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,3,3.5,3524,sqft,"4343 17th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
